id_proyecto,fecha_votacion,fecha_declaracion,pct_apoyo_oposicion,asistencia_pleno,tramite_urgencia
PL-001,2026-03-01,2026-05-15,57.2,90.2,0
PL-002,2026-03-02,2026-05-15,56.6,83.7,0
PL-003,2026-03-06,2026-05-15,44.1,81.0,0
PL-004,2026-03-08,2026-05-15,48.9,90.6,0
PL-005,2026-03-10,2026-05-15,52.8,85.1,0
PL-006,2026-03-11,2026-05-15,47.7,86.5,1
PL-007,2026-03-12,2026-05-15,60.0,92.1,1
PL-008,2026-03-14,2026-05-15,59.5,89.8,0
PL-009,2026-03-15,2026-05-15,39.2,88.3,1
PL-010,2026-03-16,2026-05-15,40.6,89.6,0
PL-011,2026-03-19,2026-05-15,45.0,84.2,0
PL-012,2026-03-23,2026-05-15,56.6,88.7,0
PL-013,2026-03-25,2026-05-15,72.2,89.8,0
PL-014,2026-03-26,2026-05-15,52.9,88.8,1
PL-015,2026-03-27,2026-05-15,58.1,85.9,0
PL-016,2026-03-28,2026-05-15,47.7,75.3,0
PL-017,2026-03-29,2026-05-15,47.9,88.2,0
PL-018,2026-04-01,2026-05-15,40.9,86.9,0
PL-019,2026-04-02,2026-05-15,56.5,85.5,0
PL-020,2026-04-04,2026-05-15,64.5,88.9,0
PL-021,2026-04-06,2026-05-15,54.2,87.4,0
PL-022,2026-04-08,2026-05-15,68.5,87.2,0
PL-023,2026-04-11,2026-05-15,59.2,82.2,0
PL-024,2026-04-12,2026-05-15,57.4,82.3,0
PL-025,2026-04-14,2026-05-15,62.0,87.8,0
PL-026,2026-04-15,2026-05-15,61.9,86.9,0
PL-027,2026-04-16,2026-05-15,67.3,87.1,0
PL-028,2026-04-19,2026-05-15,52.0,87.2,0
PL-029,2026-04-21,2026-05-15,40.3,88.0,0
PL-030,2026-04-22,2026-05-15,59.6,86.9,0
PL-031,2026-04-23,2026-05-15,53.9,87.3,0
PL-032,2026-04-24,2026-05-15,58.7,87.6,0
PL-033,2026-04-25,2026-05-15,72.3,89.6,1
PL-034,2026-04-27,2026-05-15,50.4,85.3,0
PL-035,2026-04-29,2026-05-15,65.5,89.2,1
PL-036,2026-05-01,2026-05-15,67.2,88.8,1
PL-037,2026-05-04,2026-05-15,63.6,87.2,0
PL-038,2026-05-06,2026-05-15,69.0,85.5,0
PL-039,2026-05-07,2026-05-15,56.5,88.0,0
PL-040,2026-05-09,2026-05-15,54.9,89.5,0
PL-041,2026-05-10,2026-05-15,68.8,83.7,0
PL-042,2026-05-13,2026-05-15,66.6,87.2,1
PL-043,2026-05-16,2026-05-15,44.2,87.2,1
PL-044,2026-05-18,2026-05-15,34.9,85.0,0
PL-045,2026-05-19,2026-05-15,46.2,85.2,0
PL-046,2026-05-20,2026-05-15,31.0,82.4,0
PL-047,2026-05-21,2026-05-15,24.9,83.8,0
PL-048,2026-05-22,2026-05-15,17.1,82.5,0
PL-049,2026-05-25,2026-05-15,24.8,85.3,0
PL-050,2026-05-27,2026-05-15,40.3,85.4,1
PL-051,2026-05-28,2026-05-15,22.1,85.5,1
PL-052,2026-05-29,2026-05-15,30.2,88.3,0
PL-053,2026-05-31,2026-05-15,50.8,86.6,1
PL-054,2026-06-02,2026-05-15,40.9,85.0,0
PL-055,2026-06-08,2026-05-15,48.8,85.1,0
PL-056,2026-06-10,2026-05-15,26.6,83.9,0
PL-057,2026-06-11,2026-05-15,14.9,86.7,0
PL-058,2026-06-13,2026-05-15,46.9,86.6,1
PL-059,2026-06-15,2026-05-15,23.5,92.2,0
PL-060,2026-06-17,2026-05-15,35.7,91.9,1
PL-061,2026-06-18,2026-05-15,36.8,91.8,1
PL-062,2026-06-19,2026-05-15,27.5,93.6,1
PL-063,2026-06-21,2026-05-15,47.6,83.7,1
PL-064,2026-06-23,2026-05-15,47.7,89.4,0
PL-065,2026-06-24,2026-05-15,39.8,89.7,0
PL-066,2026-06-26,2026-05-15,35.3,88.8,0
PL-067,2026-06-27,2026-05-15,37.1,93.8,0
PL-068,2026-06-29,2026-05-15,26.9,95.1,0
PL-069,2026-07-01,2026-05-15,33.9,90.4,0
PL-070,2026-07-02,2026-05-15,35.0,89.4,0
PL-071,2026-07-03,2026-05-15,29.1,84.1,1
PL-072,2026-07-04,2026-05-15,42.8,84.1,0
PL-073,2026-07-06,2026-05-15,24.7,89.6,0
PL-074,2026-07-07,2026-05-15,32.6,87.3,0
PL-075,2026-07-09,2026-05-15,18.3,83.6,0
PL-076,2026-07-10,2026-05-15,40.3,87.2,0
PL-077,2026-07-12,2026-05-15,42.4,88.7,0
PL-078,2026-07-13,2026-05-15,41.5,90.4,0
PL-079,2026-07-14,2026-05-15,59.9,87.3,0
PL-080,2026-07-15,2026-05-15,44.2,86.8,0
PL-081,2026-07-16,2026-05-15,29.2,87.6,0
PL-082,2026-07-17,2026-05-15,58.1,88.1,0
PL-083,2026-07-19,2026-05-15,29.5,84.2,0
PL-084,2026-07-20,2026-05-15,43.3,90.2,0
PL-085,2026-07-22,2026-05-15,43.0,94.3,1
PL-086,2026-07-23,2026-05-15,30.1,90.1,1
PL-087,2026-07-24,2026-05-15,48.4,83.4,0
PL-088,2026-07-25,2026-05-15,40.1,88.0,1
PL-089,2026-07-26,2026-05-15,41.9,82.4,0
PL-090,2026-07-27,2026-05-15,32.0,82.2,1
