id_proyecto,pct_apoyo_oposicion,asistencia_pleno,tramite_urgencia,dias_relativos,post_declaracion
PL-001,57.2,90.2,0,-75,0
PL-002,56.6,83.7,0,-74,0
PL-003,44.1,81.0,0,-70,0
PL-004,48.9,90.6,0,-68,0
PL-005,52.8,85.1,0,-66,0
PL-006,47.7,86.5,1,-65,0
PL-007,60.0,92.1,1,-64,0
PL-008,59.5,89.8,0,-62,0
PL-009,39.2,88.3,1,-61,0
PL-010,40.6,89.6,0,-60,0
PL-011,45.0,84.2,0,-57,0
PL-012,56.6,88.7,0,-53,0
PL-013,72.2,89.8,0,-51,0
PL-014,52.9,88.8,1,-50,0
PL-015,58.1,85.9,0,-49,0
PL-016,47.7,75.3,0,-48,0
PL-017,47.9,88.2,0,-47,0
PL-018,40.9,86.9,0,-44,0
PL-019,56.5,85.5,0,-43,0
PL-020,64.5,88.9,0,-41,0
PL-021,54.2,87.4,0,-39,0
PL-022,68.5,87.2,0,-37,0
PL-023,59.2,82.2,0,-34,0
PL-024,57.4,82.3,0,-33,0
PL-025,62.0,87.8,0,-31,0
PL-026,61.9,86.9,0,-30,0
PL-027,67.3,87.1,0,-29,0
PL-028,52.0,87.2,0,-26,0
PL-029,40.3,88.0,0,-24,0
PL-030,59.6,86.9,0,-23,0
PL-031,53.9,87.3,0,-22,0
PL-032,58.7,87.6,0,-21,0
PL-033,72.3,89.6,1,-20,0
PL-034,50.4,85.3,0,-18,0
PL-035,65.5,89.2,1,-16,0
PL-036,67.2,88.8,1,-14,0
PL-037,63.6,87.2,0,-11,0
PL-038,69.0,85.5,0,-9,0
PL-039,56.5,88.0,0,-8,0
PL-040,54.9,89.5,0,-6,0
PL-041,68.8,83.7,0,-5,0
PL-042,66.6,87.2,1,-2,0
PL-043,44.2,87.2,1,1,1
PL-044,34.9,85.0,0,3,1
PL-045,46.2,85.2,0,4,1
PL-046,31.0,82.4,0,5,1
PL-047,24.9,83.8,0,6,1
PL-048,17.1,82.5,0,7,1
PL-049,24.8,85.3,0,10,1
PL-050,40.3,85.4,1,12,1
PL-051,22.1,85.5,1,13,1
PL-052,30.2,88.3,0,14,1
PL-053,50.8,86.6,1,16,1
PL-054,40.9,85.0,0,18,1
PL-055,48.8,85.1,0,24,1
PL-056,26.6,83.9,0,26,1
PL-057,14.9,86.7,0,27,1
PL-058,46.9,86.6,1,29,1
PL-059,23.5,92.2,0,31,1
PL-060,35.7,91.9,1,33,1
PL-061,36.8,91.8,1,34,1
PL-062,27.5,93.6,1,35,1
PL-063,47.6,83.7,1,37,1
PL-064,47.7,89.4,0,39,1
PL-065,39.8,89.7,0,40,1
PL-066,35.3,88.8,0,42,1
PL-067,37.1,93.8,0,43,1
PL-068,26.9,95.1,0,45,1
PL-069,33.9,90.4,0,47,1
PL-070,35.0,89.4,0,48,1
PL-071,29.1,84.1,1,49,1
PL-072,42.8,84.1,0,50,1
PL-073,24.7,89.6,0,52,1
PL-074,32.6,87.3,0,53,1
PL-075,18.3,83.6,0,55,1
PL-076,40.3,87.2,0,56,1
PL-077,42.4,88.7,0,58,1
PL-078,41.5,90.4,0,59,1
PL-079,59.9,87.3,0,60,1
PL-080,44.2,86.8,0,61,1
PL-081,29.2,87.6,0,62,1
PL-082,58.1,88.1,0,63,1
PL-083,29.5,84.2,0,65,1
PL-084,43.3,90.2,0,66,1
PL-085,43.0,94.3,1,68,1
PL-086,30.1,90.1,1,69,1
PL-087,48.4,83.4,0,70,1
PL-088,40.1,88.0,1,71,1
PL-089,41.9,82.4,0,72,1
PL-090,32.0,82.2,1,73,1
